
age,experience,salary
60,7,79409
37,7,59657
28,1,43935
25,6,42520
21,0,29582
34,16,80863
21,1,36928
46,7,72359
57,17,96106
30,11,63924
41,8,64547
33,10,59674
25,6,43584
42,11,78891
36,1,50527
54,7,79201
25,4,43925
56,12,86139
22,1,33741
25,3,37654
44,8,72428
60,23,113664
43,11,73432
37,2,55980
60,10,93751
35,5,57573
44,8,74125
34,10,59916
34,1,46168
45,8,67084
33,10,61483
51,25,113517
29,4,44287
35,17,82830
36,18,84019
57,25,117930
34,4,55348
51,5,66771
27,2,38621
47,19,91040
44,12,82763
49,16,95064
20,2,30876
54,17,98573
27,4,47123
30,7,49053
36,16,75927
52,6,73889
60,32,138977
32,2,47126
30,8,59689
20,2,34310
51,1,59832
43,25,103038
35,1,45946
56,5,72403
51,4,72727
28,2,44787
55,10,84342
53,27,115470
54,12,88107
45,21,98118
48,28,117479
48,3,63061
34,2,48539
21,1,37641
34,0,40163
60,3,74750
24,0,34413
24,4,40899
37,15,75510
54,8,84355
56,30,124981
50,26,110119
26,1,40062
42,13,79735
49,3,61612
23,3,39559
26,3,40139
32,8,60350
28,6,48006
37,14,74092
24,3,44016
26,0,39856
20,0,28872
30,6,54956
50,13,87570
23,1,36209
20,1,31345
49,18,96930
55,31,124536
32,4,48566
23,4,44883
23,5,43138
23,0,37571
50,32,127701
30,0,43320
25,2,35122
58,4,74853
45,3,65333
